Time,Open,High,Low,Close,Volume
2012.12.10,1.04865,1.05049,1.04643,1.04868,59083
2012.12.11,1.0487,1.05315,1.04602,1.05266,61555
2012.12.12,1.05265,1.05848,1.05219,1.05531,68021
2012.12.13,1.05522,1.05628,1.05072,1.05264,66515
2012.12.14,1.05261,1.0577,1.0509,1.05651,68063
2012.12.17,1.05507,1.05721,1.05253,1.05499,61088
2012.12.18,1.05499,1.0556,1.0515,1.05328,61867
2012.12.19,1.0533,1.0533,1.04756,1.04795,70729
2012.12.20,1.04794,1.0499,1.04608,1.04813,70860
2012.12.21,1.04812,1.04852,1.03933,1.03965,73651
2012.12.24,1.03971,1.04155,1.03653,1.03685,45762
2012.12.26,1.03643,1.03854,1.0344,1.03761,40648
2012.12.27,1.03758,1.03881,1.03453,1.03756,67234
2012.12.28,1.03755,1.03956,1.03601,1.03706,64587
2012.12.31,1.03676,1.04069,1.03637,1.0391,52235
2013.01.02,1.04778,1.05229,1.04701,1.05036,66562
2013.01.03,1.05032,1.05268,1.04599,1.04651,75520
2013.01.04,1.04648,1.04861,1.0394,1.04783,80735
2013.01.07,1.04764,1.05115,1.04666,1.05019,75663
2013.01.08,1.05027,1.05152,1.04687,1.05022,75755
2013.01.09,1.05021,1.05347,1.04856,1.05126,78605
2013.01.10,1.05128,1.05971,1.04927,1.05961,81428
2013.01.11,1.05959,1.0597,1.05291,1.05331,80389
2013.01.14,1.05495,1.05771,1.05207,1.05641,75228
2013.01.15,1.05641,1.05691,1.05252,1.05636,81022
2013.01.16,1.05636,1.05788,1.05311,1.05708,82580
2013.01.17,1.0571,1.05745,1.04935,1.0544,88063
2013.01.18,1.05445,1.05556,1.04847,1.05087,83855
2013.01.21,1.05056,1.05251,1.04915,1.05153,59218
2013.01.22,1.05142,1.0578,1.05033,1.05645,82259
2013.01.23,1.05644,1.05732,1.05261,1.05533,76221
2013.01.24,1.05522,1.05532,1.0443,1.04501,84825
2013.01.25,1.04499,1.04677,1.04017,1.04225,84011
2013.01.28,1.04145,1.04289,1.03839,1.04161,76228
2013.01.29,1.04157,1.04744,1.04045,1.04735,79273
2013.01.30,1.0474,1.04751,1.03983,1.04161,79148
2013.01.31,1.04153,1.04503,1.0379,1.04249,79971
2013.02.01,1.0425,1.04444,1.03603,1.04053,83976
2013.02.04,1.04243,1.04413,1.04078,1.04365,74343
2013.02.05,1.04365,1.0456,1.03698,1.03881,81929
2013.02.06,1.0388,1.0399,1.02954,1.03181,82219
2013.02.07,1.0318,1.03378,1.02727,1.0281,84398
2013.02.08,1.02806,1.03473,1.02542,1.03166,79009
2013.02.11,1.0311,1.03235,1.02504,1.02536,68280
2013.02.12,1.02535,1.03211,1.02258,1.03029,78788
2013.02.13,1.03029,1.037,1.0302,1.03684,77632
2013.02.14,1.03695,1.03698,1.03258,1.03576,80560
2013.02.15,1.03576,1.03734,1.02865,1.03033,78037
2013.02.18,1.02891,1.03147,1.02742,1.03044,60475
2013.02.19,1.03046,1.03664,1.03002,1.03551,70600
2013.02.20,1.03548,1.0367,1.02364,1.02551,78408
2013.02.21,1.02544,1.02641,1.02201,1.02447,82133
2013.02.22,1.02444,1.03401,1.02331,1.03177,79826
2013.02.25,1.03025,1.0328,1.025,1.02559,94165
2013.02.26,1.02557,1.0291,1.01998,1.02275,100118
2013.02.27,1.02272,1.02442,1.01817,1.02316,92177
2013.02.28,1.02315,1.02894,1.0197,1.02132,85092
2013.03.01,1.02131,1.02413,1.01816,1.02021,82204
2013.03.04,1.01992,1.02042,1.01148,1.0195,76909
2013.03.05,1.01952,1.02624,1.01864,1.02567,74708
2013.03.06,1.02562,1.02989,1.02311,1.02323,76798
2013.03.07,1.02317,1.02895,1.02182,1.02657,79865
2013.03.08,1.02658,1.02822,1.02109,1.02331,78282
2013.03.11,1.02131,1.02826,1.02029,1.02734,68082
2013.03.12,1.02735,1.0335,1.02661,1.03201,82074
2013.03.13,1.03205,1.03335,1.0282,1.02968,80617
2013.03.14,1.02968,1.04008,1.0287,1.03846,87890
2013.03.15,1.03842,1.04129,1.03608,1.04104,75134
2013.03.18,1.03594,1.04093,1.03439,1.03999,64735
2013.03.19,1.03999,1.04042,1.03497,1.03649,85527
2013.03.20,1.03647,1.04047,1.03545,1.03783,60483
2013.03.21,1.03784,1.04563,1.03631,1.04348,63048
2013.03.22,1.04346,1.04595,1.042,1.04429,69200
2013.03.25,1.0445,1.04792,1.04314,1.04534,79139
2013.03.26,1.04536,1.04967,1.04462,1.04803,70693
2013.03.27,1.04805,1.04809,1.04176,1.04425,59234
2013.03.28,1.04424,1.04561,1.03962,1.04076,52849
2013.03.29,1.04077,1.04269,1.03975,1.04117,30097
2013.04.01,1.04175,1.04311,1.0385,1.04219,30636
2013.04.02,1.04218,1.04781,1.04169,1.04482,49813
2013.04.03,1.04483,1.04967,1.04451,1.04599,48028
2013.04.04,1.04598,1.04887,1.03856,1.04341,61047
2013.04.05,1.0434,1.04372,1.03546,1.03779,59456
2013.04.08,1.0367,1.04232,1.03474,1.0411,52897
2013.04.09,1.04111,1.05081,1.04045,1.04876,55808
2013.04.10,1.04875,1.05517,1.04736,1.05416,51960
2013.04.11,1.05414,1.05817,1.04992,1.05439,56040
2013.04.12,1.05438,1.05596,1.04795,1.05035,57002
2013.04.15,1.05025,1.05227,1.02899,1.03119,79150
2013.04.16,1.03118,1.03968,1.02939,1.03894,76826
2013.04.17,1.0389,1.0393,1.02763,1.02955,72728
2013.04.18,1.02953,1.03371,1.0268,1.02999,70888
2013.04.19,1.02997,1.03579,1.02743,1.02749,64577
2013.04.22,1.02771,1.03065,1.02355,1.02733,62150
2013.04.23,1.02734,1.02753,1.022,1.02575,66529
2013.04.24,1.02572,1.02953,1.02303,1.02779,61938
2013.04.25,1.02781,1.03388,1.02707,1.029,55563
2013.04.26,1.02892,1.03351,1.02625,1.027,61434
